CN,EN,IPA,POS,ExampleEN,ExampleCN,Hint,Tags
放弃,abandon,/əˈbændən/,v.,He abandoned his car in the snow.,他把车丢弃在雪地里。,a+band+on 一个乐队在上面(演出时被)放弃了,CET4 高频
完成;实现,accomplish,/əˈkɑːmplɪʃ/,v.,She accomplished her goal within a year.,她在一年内完成了目标。,ac(加强)+com(共同)+plish(填满)→全部填满→完成,CET4
准确的,accurate,/ˈækjərət/,adj.,The report was accurate and detailed.,这份报告准确而详细。,ac(加强)+cur(关心)+ate→非常关心→准确的,CET4
承认,acknowledge,/əkˈnɑːlɪdʒ/,v.,He acknowledged his mistake.,他承认了自己的错误。,ac+knowledge(知识)→承认知道→承认,CET4
获得;习得,acquire,/əˈkwaɪər/,v.,She acquired a new skill.,她习得了一项新技能。,ac(加强)+quire(寻求)→不断寻求→获得,CET4
适应,adapt,/əˈdæpt/,v.,You must adapt to the new environment.,你必须适应新环境。,ad(去)+apt(适合)→去适合→适应,CET4
足够的,adequate,/ˈædɪkwət/,adj.,The food supply is adequate.,食物供应充足。,ad+equ(相等)+ate→与需求相等→足够的,CET4
调整,adjust,/əˈdʒʌst/,v.,Please adjust the volume.,请调整音量。,ad(去)+just(正确)→去弄正确→调整,CET4
管理;执行,administer,/ədˈmɪnɪstər/,v.,She administers the department.,她管理这个部门。,ad+minister(服务)→为...服务→管理,CET6
钦佩;欣赏,admire,/ədˈmaɪər/,v.,I admire her courage.,我钦佩她的勇气。,ad+mire(惊奇)→感到惊奇→钦佩,CET4
